类别,书名,月票数,时间
[东方玄幻],斗天至尊,143,2014
[穿越历史],扶风歌,135,2014
[末世危机],末世之人类的曙光,123,2014
[东方玄幻],道印,121,2014
[青春校园],超级大文豪,109,2014
[异世大陆],无上血尊,100,2014
[体育竞技],篮球之黄金时代,94,2014
[奇幻修真],剑王朝,24152,2014
[古典仙侠],仙路争锋,4965,2014
[穿越历史],十国千娇,4602,2014
[东方玄幻],大荒蛮神,4304,2014
[异世大陆],永夜君王,3189,2014
[都市生活],终极教师,2568,2014
[东方玄幻],符皇,2308,2014
[东方玄幻],雪中悍刀行,2174,2014
[奇幻修真],无仙,2044,2014
[东方玄幻],无极剑神,1470,2014
[架空历史],争霸天下,1212,2014
[都市生活],近身狂医,1114,2014
[奇幻修真],不死冥轮,1112,2014
[穿梭时空],升级成仙,1096,2014
[东方玄幻],不败战神,1091,2014
[东方玄幻],帝御魔刀,1090,2014
[穿越历史],大明帝师,1088,2014
[奇幻修真],霸道绝色,1059,2014
[东方玄幻],问镜,922,2014
[职场商战],绝品全才,743,2014
[东方玄幻],霸天雷神,734,2014
[东方玄幻],龙神决,641,2014
[古典仙侠],戮仙,549,2014
[东方玄幻],逆天邪神,456,2014
[东方玄幻],星河大帝,441,2014
[进化变异],斗神武装,379,2014
[穿越历史],宰执天下,362,2014
[东方玄幻],刀剑神皇,344,2014
[异世大陆],图腾大陆,326,2014
[都市生活],天字号保镖,305,2014
[奇幻修真],仙路至尊,291,2014
[架空历史],国色生枭,285,2014
[都市生活],特种神医,278,2014
[灵异神怪],棺山夜行,253,2014
[奇幻修真],独步求仙,232,2014
[都市生活],医道生香,223,2014
[穿越历史],大明海寇,213,2014
[都市异能],圣手邪医,160,2014
[穿越历史],扶风歌,139,2014
[末世危机],撕裂的纪元,132,2014
[古典仙侠],绝品剑仙,130,2014
[穿梭时空],死亡名单,126,2014
[都市生活],全音阶狂潮,116,2014
[穿梭时空],无尽破碎,112,2014
[吸血传奇],血龙骄雄,110,2014
[东方玄幻],逆天邪神,40136,2014
[东方玄幻],大荒蛮神,7954,2014
[穿越历史],十国千娇,5821,2014
[东方玄幻],九阳踏天,4506,2014
[异世大陆],永夜君王,4322,2014
[东方玄幻],问镜,3133,2014
[穿梭时空],升级成仙,2534,2014
[奇幻修真],无仙,2508,2014
[东方玄幻],无极剑神,2458,2014
[都市生活],最强狂兵,2035,2014
[都市生活],终极教师,1762,2014
[古典仙侠],仙路争锋,1724,2014
[东方玄幻],符皇,1679,2014
[东方玄幻],雪中悍刀行,1500,2014
[奇幻修真],剑王朝,1433,2014
[奇幻修真],霸道绝色,1012,2014
[科技时代],通关基地,852,2014
[东方玄幻],不败战神,728,2014
[奇幻修真],无极仙帝,637,2014
[东方玄幻],霸天雷神,523,2014
[奇幻修真],仙路至尊,520,2014
[古典仙侠],绝品剑仙,433,2014
[东方玄幻],龙神决,419,2014
[穿越历史],宰执天下,408,2014
[古典仙侠],戮仙,366,2014
[架空历史],争霸天下,333,2014
[架空历史],国色生枭,274,2014
[都市异能],低调术士,273,2014
[穿越历史],大明海寇,269,2014
[东方玄幻],刀剑神皇,237,2014
[异世大陆],至尊法神,234,2014
[职场商战],绝品全才,232,2014
[都市生活],特种神医,197,2014
[进化变异],斗神武装,191,2014
[奇幻修真],大至尊,181,2014
[东方玄幻],星河大帝,181,2014
[都市生活],天字号保镖,162,2014
[穿梭时空],死亡名单,157,2014
[都市异能],圣手邪医,154,2014
[推理悬念],盗墓天书,148,2014
[穿越历史],扶风歌,139,2014
[探险异闻],窥灵眼,137,2014
[穿越历史],三国之最风流,135,2014
[东方玄幻],剑焚九天,133,2014
[穿越历史],大明帝师,131,2014
[东方玄幻],大荒蛮神,16400,2014
[奇幻修真],剑王朝,8384,2014
[穿越历史],十国千娇,7679,2014
[穿梭时空],升级成仙,5405,2014
[东方玄幻],九阳踏天,4873,2014
[异世大陆],永夜君王,2634,2014
[东方玄幻],符皇,2323,2014
[古典仙侠],仙路争锋,2276,2014
[都市生活],终极教师,2169,2014
[东方玄幻],不败战神,1419,2014
[东方玄幻],逆天邪神,1130,2014
[东方玄幻],无极剑神,1068,2014
[东方玄幻],雪中悍刀行,1013,2014
[东方玄幻],问镜,907,2014
[都市生活],最强狂兵,774,2014
[古典仙侠],绝品剑仙,767,2014
[架空历史],争霸天下,756,2014
[架空历史],国色生枭,729,2014
[东方玄幻],龙神决,584,2014
[东方玄幻],盗梦战神,498,2014
[东方玄幻],霸天雷神,446,2014
[古典仙侠],戮仙,337,2014
[穿越历史],宰执天下,337,2014
[异世大陆],鲲鹏九变,330,2014
[都市异能],圣手邪医,270,2014
[古典仙侠],猎龙刀,268,2014
[东方玄幻],刀剑神皇,234,2014
[都市生活],特种神医,221,2014
[进化变异],末日边缘,217,2014
[东方玄幻],星河大帝,194,2014
[穿越历史],大明海寇,189,2014
[穿越历史],三国之最风流,187,2014
[奇幻修真],无仙,183,2014
[奇幻修真],霸道绝色,169,2014
[穿越历史],扶风歌,167,2014
[进化变异],斗神武装,157,2014
[都市异能],近身超能高手,149,2014
[穿梭时空],死亡名单,146,2014
[穿越历史],大明帝师,139,2014
[奇幻修真],仙路至尊,136,2014
[东方玄幻],帝御魔刀,132,2014
[异世大陆],图腾大陆,114,2014
[奇幻修真],九鼎神皇,107,2014
[穿越历史],极品驸马,105,2014
[东方玄幻],全能武帝,103,2014
[古典仙侠],仙侠世界,8370,2014
[穿越历史],十国千娇,6573,2014
[东方玄幻],问镜,5349,2014
[东方玄幻],大荒蛮神,4260,2014
[奇幻修真],剑王朝,4067,2014
[东方玄幻],逆天邪神,3763,2014
[奇幻修真],无仙,2514,2014
[东方玄幻],九阳踏天,2413,2014
[都市生活],终极教师,2314,2014
[东方玄幻],雪中悍刀行,2079,2014
[东方玄幻],符皇,1937,2014
[异世大陆],永夜君王,1635,2014
[古典仙侠],仙路争锋,1501,2014
[穿梭时空],升级成仙,1220,2014
[都市生活],最强狂兵,935,2014
[东方玄幻],帝御魔刀,861,2014
[东方玄幻],不败战神,812,2014
[古典仙侠],猎龙刀,810,2014
[都市重生],重生之商界大亨,785,2014
[穿越历史],三国之最风流,558,2014
[都市异能],低调术士,551,2014
[古典仙侠],戮仙,537,2014
[架空历史],国色生枭,477,2014
[穿越历史],宰执天下,416,2014
[进化变异],末日边缘,414,2014
[异世大陆],鲲鹏九变,385,2014
[古典仙侠],天玄印,375,2014
[东方玄幻],道印,371,2014
[东方玄幻],霸天雷神,354,2014
[东方玄幻],盗梦战神,252,2014
[古典仙侠],仙都,237,2014
[异世大陆],武道玄皇,229,2014
[都市生活],特种神医,226,2014
[奇幻修真],仙路至尊,200,2014
[东方玄幻],龙神决,187,2014
[架空历史],争霸天下,169,2014
[东方玄幻],星河大帝,153,2014
[东方玄幻],无极剑神,140,2014
[东方玄幻],武道至圣,131,2014
[穿越历史],扶风歌,127,2014
[异世大陆],图腾大陆,123,2014
[穿越历史],大明帝师,115,2014
[末世危机],末世之人类的曙光,113,2014
[穿越历史],大明海寇,110,2014
[青春校园],超级大文豪,105,2014
